Position,Ticker,Today,Expiration,Strike,Type,Spot,Qty,P&L Today,P&L Unrealized,% P&L Unrealized,Mkt Value,$ Chg. Close,Last Trade,Bid,Ask,Cost Basis,Min. Req.,Notional,Magin Not.,Gross Margin,OOMP/C,Net Margin,Premium,Total Margin,Spot + 1%,N+Notional,NGM+,NOOMP/C+,Margin+Delta,Spot - 1%,N-Notional,NGM-,NOOMP/C-,Margin-Delta,% G/L,Gross RR,Annual,Yld / Put G,Yld / Put A,Days_Until_Expire
AAPL Jun 16 '17 $162.50 Call,AAPL,2017-06-22,2017-06-16,163,Call,145.87,-180,0,2404.5,89.2,-180,0,0.01,0,0.01,0.14,1963,-2934e3,-26256.600000000002,NA,NA,NA,-9900.000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
AAPL Jun 16 '17 $150 Put,AAPL,2017-06-22,2017-06-16,150,Put,145.87,-82,-11070,-46598,775.6,-40590,1.31,4.95,4.8,4.95,-0.73,970,-123e4,-11961.34,NA,NA,NA,-4510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
AAPL Jun 23 '17 $148 Put,AAPL,2017-06-22,2017-06-23,148,Put,145.87,-50,-7865.95,-7865.95,-77.38,-18e3,0.98,3.6,3.5,3.6,2.03,648,-74e4,-7293.5,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AAPL Aug 18 '17 $140 Put,AAPL,2017-06-22,2017-08-18,140,Put,145.87,-30,-1680,-880.43,-9.58,-10050,0.67,3.45,3.3,3.35,3.06,440,-42e4,-4376.1,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
AAPL Aug 18 '17 $145 Put,AAPL,2017-06-22,2017-08-18,145,Put,145.87,-40,-3200,-811.44,-3.9,-21600,0.8,5.4,5.35,5.45,5.2,545,-58e4,-5834.8,NA,NA,NA,-2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
BA Jun 16 '17 $190 Put,BA,2017-06-22,2017-06-16,190,Put,199.17,-91,-122.05,-122.05,-4.58,-2730,-0.45,0.33,0.21,0.3,0.29,1100,-1729e3,-18124.469999999998,NA,NA,NA,-5005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
BA Jun 23 '17 $195 Call,BA,2017-06-22,2017-06-23,195,Call,199.17,-40,-600,-733.04,-25.34,-3600,0.11,0.9,0.86,0.94,0.72,595,-78e4,-7966.799999999999,NA,NA,NA,-2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BA Jun 23 '17 $197.50 Call,BA,2017-06-22,2017-06-23,198,Call,199.17,-51,232.39,350.95,16.16,-1785,0.07,0.35,0.33,0.38,0.42,708,-1009800,-10157.67,NA,NA,NA,-2805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BLK Jun 16 '17 $400 Put,BLK,2017-06-22,2017-06-16,400,Put,420.74,-21,525,2764.18,95.82,-105,-0.44,0.05,0.05,0.2,1.37,610,-84e4,-8835.54,NA,NA,NA,-1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
BLK Jul 21 '17 $420 Call,BLK,2017-06-22,2017-07-21,420,Call,420.74,-41,-4510,-29758.57,-204.43,-44280,1.1,10.8,10,11.1,3.54,830,-1722e3,-17250.34,NA,NA,NA,-2255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
BLK Jul 21 '17 $400 Put,BLK,2017-06-22,2017-07-21,400,Put,420.74,-20,92.34,92.34,1.14,-7960,0.08,3.98,3.1,4,4.03,600,-8e5,-8414.8,NA,NA,NA,-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
BUD Jun 16 '17 $125 Call,BUD,2017-06-22,2017-06-16,125,Call,113.82,-80,320,5854.3,97.8,-80,-0.04,0.01,0,0.1,0.74,925,-1e6,-9105.599999999999,NA,NA,NA,-4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
BUD Jun 16 '17 $110 Put,BUD,2017-06-22,2017-06-16,110,Put,113.82,-60,300,1687.48,72.35,-600,-0.05,0.1,0.05,0.15,0.38,710,-66e4,-6829.2,NA,NA,NA,-3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
