Symbol,Ticker,Quantity,Delta,Theta,Gamma,Vega,Rho,Type,T.Delta,T.Theta,T.Gamma,T.Vega,T.Rho,Spot
AAPL Jun 16 '17 $150 Put,AAPL,-82,-0.968,-0.03,0.029,0.008,-0.004,Put,7937.6,246,-237.8,-65.60000000000001,32.800000000000004,145.87
AAPL Jun 16 '17 $160 Call,AAPL,-40,0.003,-0.005,0.002,0.001,0,Call,-12,20,-8,-4,-0,145.87
AAPL Jun 16 '17 $162.50 Call,AAPL,-180,0.003,-0.005,0.002,0.001,0,Call,-54,90,-36,-18,-0,145.87
AAPL Jun 23 '17 $148 Put,AAPL,-50,-0.722,-0.087,0.074,0.077,-0.021,Put,3610,434.99999999999994,-370,-385,105,145.87
AAPL Aug 18 '17 $140 Put,AAPL,-30,-0.342,-0.039,0.026,0.225,-0.088,Put,1026.0000000000002,117,-77.99999999999999,-675,263.99999999999994,145.87
AAPL Aug 18 '17 $145 Put,AAPL,-40,-0.483,-0.041,0.029,0.243,-0.124,Put,1932,164,-116.00000000000001,-971.9999999999999,496,145.87
BA Jun 16 '17 $190 Put,BA,-91,-0.178,-0.169,0.098,0.038,-0.002,Put,1619.8,1537.9,-891.8000000000001,-345.79999999999995,18.2,199.17
BA Jun 23 '17 $195 Call,BA,-40,0.304,-0.093,0.074,0.106,0.014,Call,-1216,372,-296,-424,-56.00000000000001,199.17
BA Jun 23 '17 $197.50 Call,BA,-51,0.149,-0.06,0.049,0.072,0.007,Call,-759.9,306,-249.9,-367.2,-35.699999999999996,199.17
BLK Jun 16 '17 $400 Put,BLK,-21,-0.029,-0.116,0.006,0.021,-0.001,Put,60.9,243.6,-12.6,-44.1,2.1,420.74
BLK Jul 21 '17 $400 Put,BLK,-20,-0.213,-0.112,0.01,0.394,-0.089,Put,426,224.00000000000003,-20,-788.0000000000001,177.99999999999997,420.74
BLK Jul 21 '17 $420 Call,BLK,-41,0.532,-0.134,0.016,0.534,0.201,Call,-2181.2000000000003,549.4000000000001,-65.60000000000001,-2189.4,-824.0999999999999,420.74
BUD Jun 16 '17 $110 Put,BUD,-60,-0.078,-0.083,0.051,0.013,0,Put,468,498.00000000000006,-305.99999999999994,-77.99999999999999,-0,113.82
BUD Jun 16 '17 $125 Call,BUD,-80,0.026,-0.047,0.011,0.005,0,Call,-208,376,-87.99999999999999,-40,-0,113.82
