Ticker,Spot,cts_C,cts_P,cts_Net,Notional_C,Notional_P,<NA>,Delta,Gamma,Theta,Vega,%_Delta,%_Gamma,%_of_Port_Delta,%Delta_of_Port_%Delta,%_of_Port_Gamma,%Gamma_of_Port_%Gamma,%_of_Port_Theta,batting_avg,log_roll,theta_gamma_cvg
AAPL,145.87,-220,-220,0,-5868e3,-648e4,NA,15960.6,-941.2,1181.8,-2220.4,23281.72722,-1372.9284400000001,376.5891180218015,-214.54842430937111,3.7868089335216277,4.108672473930009,3.3725243992922773,0.0507608386969152,-0.05897021415235017,0.8607877625435452
BA,199.17,-91,-91,0,-3579600,-3458e3,NA,-356.1,-1437.7,2215.9,-1137,-709.24437,-2863.4670899999996,-8.402151856920387,6.535909496571818,5.7844190434807095,8.5693092734589,6.323554591632898,-3.124311018499872,4.037349059253018,0.7738520927090523
BLK,420.74,-41,-41,0,-3444e3,-328e4,NA,-1694.3000000000002,-98.2,1017.0000000000001,-3021.5,-7128.597820000001,-413.16668000000004,-39.97687697607473,65.69226653005249,0.39509629969382043,1.2364566978167109,2.902231607784944,-0.1426648024870619,0.05795903913120463,2.4614763223404172
BUD,113.82,-100,-100,0,-25e5,-22e5,NA,1194,-617.9999999999999,1028,-710,1359.0107999999998,-703.4075999999998,28.17233731301022,-12.52371110631962,2.486451254692271,2.105041573815143,2.9336225101307,0.7564325463785867,-0.5175879396984924,1.4614570556246482
CMG,417.6,-12,-12,0,-114e4,-1065200,NA,116.10000000000002,-31.5,459.20000000000005,-250.8,484.83360000000016,-131.544,2.739370487471095,-4.467893809995423,0.126736593078975,0.39366306077150615,1.3104274870155814,0.9471290768626595,-0.27131782945736427,3.4908471690080884
CVX,104.49,-200,-335,-135,-4348e3,-6862e3,NA,-2162.4999999999995,-3876,1837.5,-1637,-2259.5962499999996,-4050.0324,-51.02401963097537,20.822888715765295,15.594636024574829,12.12026508854656,5.243707550938873,-0.8131983755947552,1.7923699421965322,0.45370007410311086
FB,153.91,-110,-110,0,-3508e3,-3238e3,NA,2927,-779,1251,-899.0000000000001,4504.9457,-1198.9589,69.06233778490865,-41.51448869755622,3.1342160637625884,3.5880452952110176,3.5700017122310372,0.2776948010716311,-0.26614280833618037,1.0434052409970016
GS,222.49,-470,-470,0,-21674e3,-19655400,NA,-13768.099999999999,-2352.6,10828.1,-8432.1,-30632.645689999998,-5234.2997399999995,-324.8572507196449,282.2894454141254,9.465412980241162,15.664343920238844,30.900348153644195,-0.35348236354050294,0.17087325048481636,2.06868168386551
IBM,153.79,-70,-110,-40,-2212e3,-3268e3,NA,220,-827,1159,-485.99999999999994,338.33799999999997,-1271.8432999999998,5.1908829219951835,-3.117890872015122,3.3273384913115023,3.806161636408599,3.3074596198847095,3.425568514325911,-3.759090909090909,0.9112757837384529
JNJ,134.91,-80,-80,0,-2096e3,-2048e3,NA,-6384,-1360,1232,-280,-8612.6544,-1834.776,-150.62998442735113,79.36831375009865,5.4718021138859045,5.490813233519589,3.51578106272473,-0.14304533106541464,0.2130325814536341,0.6714716128835345
JPM,87.12,-30,-30,0,-516e3,-51e4,NA,-2088,-831,504,-87,-1819.0656,-723.9672,-49.26619791420883,16.76326049641693,3.3434320269405786,2.1665689339702086,1.4382740711146624,-0.2770653240872677,0.39798850574712646,0.6961641356127736
M,21.6,-30,-30,0,-138e3,-132e3,NA,-285,-2634,255,-54,-61.56,-568.944,-6.724552876221034,0.567294723268598,10.597593211746672,1.7026412185092723,0.7276981907425375,-4.1423001949317735,9.242105263157894,0.44819876824432636
MAR,104.13,-20,-20,0,-428e3,-404e3,NA,316.00000000000006,-274,216,-118,329.05080000000004,-285.3162,7.455995469774901,-3.0323064088257117,1.102407190591719,0.853846990966484,0.6164031733348553,0.6564335962714571,-0.8670886075949366,0.7570548044590528
MCD,153.73,-50,-90,-40,-155e4,-2634e3,NA,1234,-609,490.9999999999999,-608,1897.0281999999997,-936.2157,29.11613420791844,-17.48171032735098,2.45024079952685,2.8017510339075753,1.401175731978768,0.25882588355829395,-0.493517017828201,0.524451790329942
MMM,212.86,-25,-25,0,-104e4,-104e4,NA,-1402.5,-422.5,592.5,-377.5,-2985.3615000000004,-899.3335000000001,-33.091878627719296,27.511043307329874,1.6998797008211726,2.6913761043023725,1.6908281490782489,-0.1984684266880242,0.3012477718360071,0.6588212270531454
NFLX,155.03,-20,-20,0,-68e4,-62e4,NA,1194,-91.99999999999999,258,-252,1851.0582000000002,-142.62759999999997,28.17233731301022,-17.058082347678187,0.3701513194687523,0.42683222014302474,0.7362593459277439,0.1393797342514676,-0.07705192629815744,1.8089065510462214
NVDA,159.47,0,-120,-120,0,-3446e3,NA,3075,-284,2157,-1099,4903.7025,-452.89480000000003,72.55438629606904,-45.18915777662496,1.1426410296644094,1.355348424675387,6.155470578163347,0.43987170918301016,-0.09235772357723578,4.762695442738578
PXD,155.03,-40,-40,0,-14e5,-1264e3,NA,164,-152,696,-96,254.24920000000003,-235.6456,3.8695672691236824,-2.342986185108227,0.6115543539048952,0.7052010593667367,1.9861880029678671,2.7374717403240596,-0.9268292682926829,2.9535879303496437
SPY,242.95,-70,-90,-20,-345e4,-4338e3,NA,494.99999999999994,-1825,1736.0000000000002,-592,1202.6025,-4433.8375,11.679486574489161,-11.082359526309684,7.342675630766012,13.268853320664434,4.954055133839393,1.4435359979710671,-3.686868686868687,0.39153442136749494
